Index,PPL
1,6.354791221246583
2,5.756177604242848
3,5.548775702912601
4,5.415204596045519
5,5.316011026166316
6,5.236872624347925
7,5.170659909585128
8,5.113981457879891
9,5.064353013965934
10,5.021896519788857
11,4.982408720142387
12,4.946181840395367
13,4.9135539461822555
14,4.882877092295011
15,4.855645337159099
16,4.829249942748006
17,4.804032338820135
18,4.7808497992673615
19,4.759834577737894
20,4.738657792846777
21,4.719192551380186
22,4.699634939138896
23,4.68271352857247
24,4.664917946062218
25,4.648207552661587
26,4.6331949681263405
27,4.61713526662497
28,4.602436369746361
29,4.588977032837339
30,4.5767224993227025
31,4.561744296281486
32,4.548842689572495
33,4.5377472314386935
34,4.5246602063137535
35,4.512684591743117
36,4.502675752728066
37,4.49091467869573
38,4.480134275229458
39,4.469159337412714
40,4.458616550592803
41,4.449393803643027
42,4.437504358246527
43,4.42918031717807
44,4.42095698317253
45,4.411061955190078
46,4.4032229939871375
47,4.392550660500885
48,4.3847257431309155
49,4.376566829856825
50,4.366977827582568
51,4.360473020133157
